"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"[Clostridium] sordellii",NA,NA,"hostassociated, host, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,"sporulation","mesophilic"
"Sphingobium sp. AP49",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Rhizobium sp. AP16","d xylopyranoside",NA,"hostassociated, rhizoplane, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Clostridium sporogenes",NA,NA,"host",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation",NA
"Thermus sp. RL",NA,NA,"single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[Clostridium] stercorarium",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"bacilli","sporulation",NA
"Thermanaerovibrio velox",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"[Clostridium] sticklandii",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"[Clostridium] symbiosum",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Clostridium tetani",NA,NA,"hostassociated, host, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Rhizobium sp. CF122","arabinose, xylose, d xylopyranoside","alkaline phosphatase","hostassociated, rhizoplane, host, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Variovorax sp. CF313","arabinose, ketoglutaric acid, alanine",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Ruminiclostridium thermocellum",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Thiorhodococcus drewsii",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rhizobium sp. CF142","arbutin, arabitol, d xylopyranoside","alkaline phosphatase","hostassociated, plants, rhizoplane, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,NA
"Thermoanaerobacter thermohydrosulfuricus",NA,NA,"freeliving, single",NA,NA,"pairs, singles",NA,"flagellarpresence","positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Desulfonatronospira thiodismutans",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,NA,NA
"Thermoanaerobacterium thermosaccharolyticum",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Chryseobacterium sp. CF314","melibiose, dextrin, salicin","valine arylamidase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Herbaspirillum sp. CF444","glutamate, ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Polaromonas sp. CF318","glutamate, ketoglutaric acid, alanine",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridium beijerinckii",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"[Clostridium] cellulolyticum",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,"bacilli","sporulation",NA
"[Clostridium] innocuum",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"[Clostridium] piliforme",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,"sporulation",NA
"Moorella thermoacetica",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","thermophilic"
"Gordonia sihwensis",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Burkholderia sp. CCGE1002","arabinose, glutamate, ketoglutaric acid, alanine, propionate","lipase  c14, galactosidase","hostassociated, host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Burkholderia sp. CCGE1001","arabinose, glutamate, lactate, ketoglutaric acid, alanine, gluconate, propionate, pyroglutamic acid","alkaline phosphatase, glucosidase, lipase  c14","hostassociated, host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in mammals",NA,NA,"motility",NA,NA,"bacilli",NA,"mesophilic"
"Methanogenium frigidum",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,"methanogen",NA,NA,NA,NA,NA,NA,NA
"[Clostridium] clostridioforme",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Pseudoxanthomonas spadix","ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Corynebacterium sp. HFH0082",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridium kluyveri",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Myxococcus stipitatus",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli","sporulation","mesophilic"
"Brucella sp. NF 2653",NA,"alkaline phosphatase","hostassociated, host",NA,NA,"chains, pairs, singles",NA,NA,"negative",NA,NA,"urogenital",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"[Clostridium] leptum",NA,NA,"hostassociated, host, fecal",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Acinetobacter sp. ADP1","glutamate, ketoglutaric acid, saccharate, acetate, adipate, aspartate, benzoate, ethanol, arginine, hydroxybutyric acid","alkaline phosphatase, catalase",NA,NA,NA,"singles","heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bacillus oceanisediminis","dextrin",NA,"freeliving",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli","sporulation","mesophilic"
"Clostridium ljungdahlii",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Pseudomonas sp. GM80","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Kurthia sp. JC8E","dextrin","esterase lipase  c8",NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kurthia massiliensis","ketoglutaric acid","esterase lipase  c8",NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiae bacterium DG1235",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Pantoea sp. SL1_M5","mannitol, trehalose, aspartate","alkaline phosphatase","hostassociated, plants, host",NA,NA,"singles",NA,NA,"negative",NA,NA,"plantsexceptlegumes, pathogenic in plants",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Clostridium novyi",NA,NA,"hostassociated, host",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli","sporulation","mesophilic"
"Phyllobacterium sp. YR531",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Herbaspirillum sp. YR522","ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkholderia sp. CCGE1003","arabinose, glutamate, ketoglutaric acid, alanine, propionate, pyroglutamic acid","glucosidase, lipase  c14","host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bacillus timonensis","dextrin, ketoglutaric acid","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli","sporulation","mesophilic"
"Erysipelatoclostridium ramosum",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"[Clostridium] sporosphaeroides",NA,NA,"host",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Rhodopirellula sp. SWK7",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fischerella sp. PCC 9431",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Pseudomonas sp. GM102","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase","plants",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Pseudomonas sp. GM17","glutamate, ketoglutaric acid, alanine, aspartate","lipase  c14",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Gottschalkia acidurici",NA,NA,"freeliving",NA,NA,"pairs, singles","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation","mesophilic"
"Sphingobacterium paucimobilis","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Exiguobacterium pavilionensis","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,NA
"Gramella forsetii","dextrin, salicin","alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Salimicrobium sp. MJ3","dextrin",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thermoplasmatales archaeon BRNA1",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,"methanogen",NA,NA,"strictanaero",NA,NA,NA,NA
"Streptococcus urinalis","arbutin, fructose, dextrin, glucose",NA,"hostassociated, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Desulfosporosinus orientis",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,"sporulation",NA
"Desulfotomaculum ruminis",NA,NA,"freeliving",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"hydrogensulfidegasrelease, sulfatereducer",NA,NA,"strictanaero",NA,"bacilli","sporulation",NA
"Pseudomonas sp. GM55","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Pseudomonas sp. GM50","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase","plants",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Saccharomonospora xinjiangensis",NA,NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,NA,"sporulation",NA
"Halobacillus halophilus","cellobiose, glycerol, dextrin, ketoglutaric acid","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups","halophilic",NA,NA,"mobility",NA,NA,NA,NA,"sporulation","mesophilic"
"Achromobacter insuavis","malic acid, glutamate, ketoglutaric acid, alanine, saccharate, propionate, aspartate, pyroglutamic acid, mucic acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Candidatus Methanomassiliicoccus intestinalis",NA,NA,NA,NA,NA,NA,"lithotroph",NA,NA,NA,NA,NA,"methanogen",NA,NA,NA,NA,NA,NA,NA
"Serinicoccus marinus",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Leifsonia xyli",NA,NA,"hostassociated, host, fecal, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,"pathogenic in plants",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Rhizobium freirei","d xylopyranoside",NA,"hostassociated, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Lactobacillus acidophilus","arbutin, fructose, lactose, dextrin, gentiobiose, amygdalin, glucose","galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,"mammalsman",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus brevis","fructose, glucose",NA,"hostassociated, foodproduction, host, fecal, hostassociated",NA,NA,"chains",NA,NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus buchneri",NA,NA,"hostassociated, host, fecal",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus casei","fructose, acetylglucosamine, glucose",NA,"hostassociated, foodproduction, digestivesystem, host, fecal, dairyproducts, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus kefiranofaciens","arbutin, fructose, gentiobiose, glucose, mannose","glucosidase","hostassociated, host, fecal, vagina, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus delbrueckii","fructose, sucrose, glucose",NA,"hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Geitlerinema sp. PCC 7407",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Microcoleus sp. PCC 7113",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,NA,NA,"mesophilic"
"Lactobacillus helveticus","arbutin, fructose, dextrin, glucose, mannose","glucosidase, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Blattabacterium sp. (Blattella germanica)",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Gloeocapsa sp. PCC 7428",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Lactobacillus pentosus","glucose",NA,"foodproduction, host",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative","radioresistance","bacilli",NA,"mesophilic"
"Lactobacillus plantarum","fructose, acetylglucosamine, glucose",NA,"hostassociated, foodproduction, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Chamaesiphon minutus",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Ruegeria sp. TM1040",NA,"alkaline phosphatase, esterase lipase  c8, catalase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chryseobacterium greenlandense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactobacillus gasseri","arbutin, fructose, lactose, dextrin, gentiobiose, amygdalin, glucose, mannose","glucosidase","hostassociated, host, fecal, vagina, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus paracasei","acetylglucosamine, glucose",NA,"hostassociated, foodproduction, host, fecal, dairyproducts, hostassociated, multiple",NA,NA,"chains",NA,NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus reuteri","fructose, glucose",NA,"hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Burkholderia sp. Ch1-1","glutamate, ketoglutaric acid, alanine, propionate, pyroglutamic acid","alkaline phosphatase","host",NA,NA,"singles",NA,"flagellarpresence","negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Lactobacillus sakei","fructose, acetylglucosamine, glucose",NA,"hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Rubrivivax benzoatilyticus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Candidatus Nasuia deltocephalinicola",NA,NA,"host",NA,"symbiotic",NA,NA,NA,NA,NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,NA
"Stappia stellulata",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Lactobacillus amylovorus","arbutin, fructose, dextrin, gentiobiose, amygdalin, glucose, mannose","galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Blattabacterium sp. (Nauphoeta cinerea)",NA,NA,"host, hostassociated",NA,"symbiotic","singles",NA,NA,NA,NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,NA
"Lactobacillus farciminis","arbutin, fructose, dextrin",NA,"host",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Lactobacillus fermentum","glucose",NA,"hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Lactobacillus fructivorans","fructose, glucose",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Halogranum salarium",NA,NA,"freeliving, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,"halophilic",NA,NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Planococcus antarcticus","dextrin",NA,"freeliving",NA,NA,NA,NA,NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sporulation",NA
"Sandarakinorhabdus limnophila",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Arthrobacter rhombi",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olsenella sp. oral taxon 809",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Capnocytophaga sp. oral taxon 338","dextrin",NA,"hostassociated, host, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Helicobacter winghamensis",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Lactobacillus ruminis","fructose, glucose",NA,"hostassociated, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Lactobacillus salivarius","arbutin, fructose, lactose, dextrin, glucose",NA,"hostassociated, oral, host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Lactobacillus sanfranciscensis","arbutin, fructose, dextrin",NA,"host, fecal, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Thermotoga lettingae",NA,NA,"freeliving, single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Citromicrobium sp. JLT1363",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Fructobacillus fructosus",NA,NA,"host",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Lactobacillus oris",NA,NA,"hostassociated, host, fecal",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Parachlamydia acanthamoebae",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Chlamydophila abortus",NA,NA,"hostassociated, host, hostassociated",NA,"symbiotic","chains, singles","chemoorganotroph",NA,"negative",NA,NA,"respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chlamydia psittaci",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles","chemoorganotroph",NA,"negative",NA,NA,"respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chlamydophila caviae",NA,NA,"hostassociated, mammals, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"mammalsman, respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chlamydophila felis",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Listeria ivanovii","arbutin, fructose, glycerol, lactose, acetylglucosamine, arabitol, dextrin, trehalose, gentiobiose, salicin, aesculin, glucose, mannose, d glucopyranoside","esterase lipase  c8, catalase","hostassociated, host, fecal, hostassociated",NA,NA,"chains, singles","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Listeria monocytogenes","fructose, glycerol, lactose, sucrose, arabitol, dextrin, gentiobiose, salicin, aesculin, glucose, mannose, d glucopyranoside","esterase lipase  c8, catalase","hostassociated, foodproduction, host, fecal, food",NA,NA,"chains, singles","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Chlamydia pneumoniae","glycerol, lactose",NA,"hostassociated, host, hostassociated",NA,"symbiotic","singles","chemoorganotroph",NA,"negative",NA,NA,"mammalsman, respiratory lungdisease, respiratory, respiratory throatnoseeyes, pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Listeria seeligeri","arbutin, fructose, glycerol, lactose, arabitol, dextrin, gentiobiose, salicin, acetyl b d mannosamine, aesculin, glucose, d glucopyranoside","catalase","hostassociated, foodproduction, host, fecal",NA,NA,"chains, singles","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Simkania negevensis",NA,NA,"hostassociated, host, hostassociated, single",NA,NA,NA,NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
